subject_id,azimuth_deg,elevation_deg,radius_m,itd_us,ild_db
P0001,0.0,-45.0,1.5,62.5,2.6455069231267907
P0001,0.0,-30.0,1.5,83.33333333333333,4.073045327627447
P0001,0.0,-20.0,1.5,83.33333333333333,4.775074057939445
P0001,0.0,-10.0,1.5,83.33333333333333,4.702268794655323
P0001,0.0,0.0,1.5,83.33333333333333,4.431584304677151
P0001,0.0,10.0,1.5,62.5,3.7643087248061766
P0001,0.0,20.0,1.5,62.5,3.345734837517061
P0001,0.0,30.0,1.5,62.5,2.9468632298543755
P0001,0.0,45.0,1.5,41.666666666666664,2.7923196156767967
P0001,0.0,60.0,1.5,20.833333333333332,1.8850457836486665
P0001,0.0,75.0,1.5,0.0,1.367153618172878
P0001,0.0,90.0,1.5,-20.833333333333332,0.49560191834996686
P0001,180.0,75.0,1.5,-62.5,-0.4080881020615721
P0001,180.0,60.0,1.5,-83.33333333333333,-1.0932689855358306
P0001,180.0,45.0,1.5,-83.33333333333333,-0.7887263211300373
P0001,180.0,30.0,1.5,-104.16666666666667,-0.9583311353630208
P0001,180.0,20.0,1.5,-104.16666666666667,-0.6545692017908198
P0001,180.0,10.0,1.5,-104.16666666666667,-0.4871662931611247
P0001,180.0,0.0,1.5,-104.16666666666667,-0.1782195692282418
P0001,180.0,-10.0,1.5,-83.33333333333333,0.19122569834818584
P0001,180.0,-20.0,1.5,-83.33333333333333,-0.5474729654511392
P0001,180.0,-30.0,1.5,-83.33333333333333,-2.0090812254863444
P0001,180.0,-45.0,1.5,-62.5,-2.297591073624047
P0001,355.0,-45.0,1.5,41.666666666666664,1.5561567928963762
P0001,355.0,-30.0,1.5,41.666666666666664,2.6494525542993363
P0001,355.0,-20.0,1.5,41.666666666666664,2.785926420194685
P0001,355.0,-10.0,1.5,41.666666666666664,2.468962582528143
P0001,355.0,0.0,1.5,41.666666666666664,2.227632529904944
P0001,355.0,10.0,1.5,41.666666666666664,1.8342628487141077
P0001,355.0,20.0,1.5,20.833333333333332,1.5681576973403222
P0001,355.0,30.0,1.5,20.833333333333332,1.3446870010288423
P0001,355.0,45.0,1.5,0.0,1.0293169728423726
P0001,355.0,60.0,1.5,0.0,0.373533140170019
P0001,355.0,75.0,1.5,-20.833333333333332,0.4213353962666641
P0001,175.0,75.0,1.5,-41.666666666666664,0.054329699547851024
P0001,175.0,60.0,1.5,-41.666666666666664,-0.04506269896489889
P0001,175.0,45.0,1.5,-62.5,0.07079018533575678
P0001,175.0,30.0,1.5,-62.5,-0.11883946849513388
P0001,175.0,20.0,1.5,-62.5,0.4535766945296976
P0001,175.0,10.0,1.5,-62.5,0.38963471647996273
P0001,175.0,0.0,1.5,-41.666666666666664,0.42441111106971574
P0001,175.0,-10.0,1.5,-41.666666666666664,0.35284066474984727
P0001,175.0,-20.0,1.5,-41.666666666666664,0.08489312840704992
P0001,175.0,-30.0,1.5,-41.666666666666664,-1.0141260229253284
P0001,175.0,-45.0,1.5,-20.833333333333332,-1.7281363408550217
P0001,350.0,-45.0,1.5,0.0,0.05658335993039922
P0001,350.0,-30.0,1.5,0.0,0.45101186396837745
P0001,350.0,-20.0,1.5,0.0,-0.09023016313294455
P0001,350.0,-10.0,1.5,0.0,-0.10858897087531222
P0001,350.0,0.0,1.5,0.0,-0.030821749382267866
P0001,350.0,10.0,1.5,0.0,-0.322090798563828
P0001,350.0,20.0,1.5,-20.833333333333332,-0.4009171643493223
P0001,350.0,30.0,1.5,-20.833333333333332,-0.48137544613144706
P0001,350.0,45.0,1.5,-20.833333333333332,-1.184716350050207
P0001,350.0,60.0,1.5,-20.833333333333332,-1.342653764697446
P0001,350.0,75.0,1.5,-20.833333333333332,-0.8066389480022318
P0001,170.0,75.0,1.5,-20.833333333333332,0.809398397213424
P0001,170.0,60.0,1.5,-20.833333333333332,1.1558458402681118
P0001,170.0,45.0,1.5,-20.833333333333332,1.3302150275983504
P0001,170.0,30.0,1.5,-20.833333333333332,0.8661476535430874
P0001,170.0,20.0,1.5,-20.833333333333332,1.155614239135563
P0001,170.0,10.0,1.5,-20.833333333333332,0.8465098843747308
P0001,170.0,0.0,1.5,0.0,0.8143350759280679
P0001,170.0,-10.0,1.5,0.0,0.30700889618832605
P0001,170.0,-20.0,1.5,0.0,0.7802208120223122
P0001,170.0,-30.0,1.5,0.0,0.09115758105959162
P0001,170.0,-45.0,1.5,20.833333333333332,-1.2294775023107738
P0001,345.0,-45.0,1.5,-20.833333333333332,-1.3955901972889164
P0001,345.0,-30.0,1.5,-20.833333333333332,-1.6423978584420782
P0001,345.0,-20.0,1.5,-41.666666666666664,-2.510764107957865
P0001,345.0,-10.0,1.5,-41.666666666666664,-2.375257902825333
P0001,345.0,0.0,1.5,-41.666666666666664,-2.0685285942342437
P0001,345.0,10.0,1.5,-41.666666666666664,-2.2592802022227114
P0001,345.0,20.0,1.5,-41.666666666666664,-2.5616374455204327
P0001,345.0,30.0,1.5,-62.5,-2.5299417977937444
P0001,345.0,45.0,1.5,-62.5,-3.2027050548505014
P0001,345.0,60.0,1.5,-41.666666666666664,-2.954344927287493
P0001,345.0,75.0,1.5,-41.666666666666664,-1.5424346162772156
P0001,165.0,75.0,1.5,-20.833333333333332,1.3958691769878309
P0001,165.0,60.0,1.5,0.0,2.3760803824668058
P0001,165.0,45.0,1.5,0.0,2.035777622467397
P0001,165.0,30.0,1.5,20.833333333333332,1.5148768844475116
P0001,165.0,20.0,1.5,20.833333333333332,1.6459738144833758
P0001,165.0,10.0,1.5,41.666666666666664,1.3500457375452788
P0001,165.0,0.0,1.5,41.666666666666664,1.1497521994253708
P0001,165.0,-10.0,1.5,41.666666666666664,0.2456674105857738
P0001,165.0,-20.0,1.5,41.666666666666664,1.3034938762440578
P0001,165.0,-30.0,1.5,41.666666666666664,0.8167802740791863
P0001,165.0,-45.0,1.5,41.666666666666664,-0.6817057659554637
P0001,340.0,-45.0,1.5,-41.666666666666664,-3.133323258749083
P0001,340.0,-30.0,1.5,-62.5,-3.2148460637682645
P0001,340.0,-20.0,1.5,-62.5,-4.228975087464503
P0001,340.0,-10.0,1.5,-83.33333333333333,-4.095702051855059
P0001,340.0,0.0,1.5,-83.33333333333333,-3.675010007409709
P0001,340.0,10.0,1.5,-83.33333333333333,-3.9341421251525057
P0001,340.0,20.0,1.5,-83.33333333333333,-4.311986831300122
P0001,340.0,30.0,1.5,-83.33333333333333,-4.476462789104824
P0001,340.0,45.0,1.5,-83.33333333333333,-4.884239525972384
P0001,340.0,60.0,1.5,-62.5,-4.469148143321662
P0001,340.0,75.0,1.5,-62.5,-2.485252395892676
P0001,160.0,75.0,1.5,-20.833333333333332,1.761855716375949
P0001,160.0,60.0,1.5,20.833333333333332,2.8843553939086757
P0001,160.0,45.0,1.5,41.666666666666664,3.0331856414235703
P0001,160.0,30.0,1.5,62.5,2.46809944936416
P0001,160.0,20.0,1.5,62.5,2.3221906423605865
P0001,160.0,10.0,1.5,83.33333333333333,2.034665974644223
P0001,160.0,0.0,1.5,83.33333333333333,1.5832395244097774
P0001,160.0,-10.0,1.5,83.33333333333333,0.8008608658162115
P0001,160.0,-20.0,1.5,83.33333333333333,1.933069943171036
P0001,160.0,-30.0,1.5,83.33333333333333,1.0329332003645695
P0001,160.0,-45.0,1.5,83.33333333333333,-0.05680056825998359
P0001,335.0,-45.0,1.5,-62.5,-4.37682381121575
P0001,335.0,-30.0,1.5,-83.33333333333333,-5.068449117126407
P0001,335.0,-20.0,1.5,-104.16666666666667,-6.345710720948611
P0001,335.0,-10.0,1.5,-125.0,-6.379756177837182
P0001,335.0,0.0,1.5,-125.0,-5.762358011226796
P0001,335.0,10.0,1.5,-125.0,-5.829750555693121
P0001,335.0,20.0,1.5,-125.0,-6.067691978268305
P0001,335.0,30.0,1.5,-125.0,-6.392401165387974
P0001,335.0,45.0,1.5,-104.16666666666667,-6.436845086623154
P0001,335.0,60.0,1.5,-104.16666666666667,-5.7604848584957535
P0001,335.0,75.0,1.5,-62.5,-3.2341898644475426
P0001,155.0,75.0,1.5,0.0,1.9875687655411667
P0001,155.0,60.0,1.5,41.666666666666664,3.806489846003937
P0001,155.0,45.0,1.5,62.5,4.162375467104653
P0001,155.0,30.0,1.5,104.16666666666667,3.2649056361638924
P0001,155.0,20.0,1.5,104.16666666666667,3.1020615176156014
P0001,155.0,10.0,1.5,125.0,2.8976646611601122
P0001,155.0,0.0,1.5,125.0,1.9679363433934687
P0001,155.0,-10.0,1.5,125.0,1.6660320814282905
P0001,155.0,-20.0,1.5,125.0,2.3819682772555524
P0001,155.0,-30.0,1.5,125.0,1.5256075436176575
P0001,155.0,-45.0,1.5,104.16666666666667,0.8665693554354141
P0001,330.0,-45.0,1.5,-104.16666666666667,-5.742862880523736
P0001,330.0,-30.0,1.5,-125.0,-6.466944942314463
P0001,330.0,-20.0,1.5,-145.83333333333334,-7.827109173479484
P0001,330.0,-10.0,1.5,-145.83333333333334,-7.843826094266687
P0001,330.0,0.0,1.5,-166.66666666666666,-7.398061454215376
P0001,330.0,10.0,1.5,-166.66666666666666,-7.6091771978948355
P0001,330.0,20.0,1.5,-166.66666666666666,-7.831126570634652
P0001,330.0,30.0,1.5,-166.66666666666666,-8.07630823571574
P0001,330.0,45.0,1.5,-145.83333333333334,-7.909277218744454
P0001,330.0,60.0,1.5,-125.0,-7.050894437937297
P0001,330.0,75.0,1.5,-83.33333333333333,-3.976487652525414
P0001,150.0,75.0,1.5,0.0,2.9481253367945293
P0001,150.0,60.0,1.5,62.5,4.7144991811195505
P0001,150.0,45.0,1.5,104.16666666666667,4.709719219458867
P0001,150.0,30.0,1.5,145.83333333333334,4.10674992645074
P0001,150.0,20.0,1.5,166.66666666666666,4.112393472280955
P0001,150.0,10.0,1.5,166.66666666666666,3.75677340479517
P0001,150.0,0.0,1.5,166.66666666666666,2.9634527362125773
P0001,150.0,-10.0,1.5,187.5,2.901804983281449
P0001,150.0,-20.0,1.5,166.66666666666666,3.2003650801101093
P0001,150.0,-30.0,1.5,166.66666666666666,2.7297243627931977
P0001,150.0,-45.0,1.5,145.83333333333334,2.00302241969377
P0001,325.0,-45.0,1.5,-125.0,-7.143376544566595
P0001,325.0,-30.0,1.5,-166.66666666666666,-7.394925518891076
P0001,325.0,-20.0,1.5,-187.5,-8.96178499178107
P0001,325.0,-10.0,1.5,-187.5,-9.533784837080727
P0001,325.0,0.0,1.5,-208.33333333333334,-9.099366069152042
P0001,325.0,10.0,1.5,-208.33333333333334,-9.136701081748285
P0001,325.0,20.0,1.5,-208.33333333333334,-9.236371663978964
P0001,325.0,30.0,1.5,-208.33333333333334,-9.48383078503728
P0001,325.0,45.0,1.5,-166.66666666666666,-9.255505465156784
P0001,325.0,60.0,1.5,-145.83333333333334,-8.173240910873684
P0001,325.0,75.0,1.5,-83.33333333333333,-4.590179360394001
P0001,145.0,75.0,1.5,20.833333333333332,3.2604548198546923
P0001,145.0,60.0,1.5,83.33333333333333,5.427752032637936
P0001,145.0,45.0,1.5,145.83333333333334,5.577335861356348
P0001,145.0,30.0,1.5,187.5,5.129277709201292
P0001,145.0,20.0,1.5,208.33333333333334,5.204270057018875
P0001,145.0,10.0,1.5,208.33333333333334,4.723031320286582
P0001,145.0,0.0,1.5,229.16666666666666,4.1938711369695145
P0001,145.0,-10.0,1.5,229.16666666666666,4.277305176926891
P0001,145.0,-20.0,1.5,208.33333333333334,4.254207950171153
P0001,145.0,-30.0,1.5,187.5,4.262144387462524
P0001,145.0,-45.0,1.5,187.5,3.082361544821937
P0001,320.0,-45.0,1.5,-145.83333333333334,-7.741094263258768
P0001,320.0,-30.0,1.5,-187.5,-8.934774756879785
P0001,320.0,-20.0,1.5,-229.16666666666666,-9.920556757357705
P0001,320.0,-10.0,1.5,-229.16666666666666,-10.640498933504796
P0001,320.0,0.0,1.5,-250.0,-10.568606275250843
P0001,320.0,10.0,1.5,-250.0,-10.670497325330771
P0001,320.0,20.0,1.5,-250.0,-10.662839242553702
